"attended"	"years"	"participating"	"day"	"juniorsenior"	"jsage"	"party"	"tshirt"	"photo"	"comments"	"B3"
"yes"	""	"yes"	"Thurs"	""	""	"family"	"yes"	"both"	""	"Submit"
"yes"	"2003-2006"	"yes"	"Mon"	"No"	""	"no"	"yes"	"both"	""	"Submit"
"yes"	"2006"	"yes"	"Mon"	"No"	"7years"	"no"	"yes"	"both"	"4 days is a little much, could you group by ages so that even if the event runs 4 days, we wouldn't have to be waiting around through all four days? "	"Submit"
"yes"	""	"notsure"	"Mon"	"No"	""	"no"	"yes"	"action"	"on t-shirts you would need to know what styling you are using because the junior t-shirts run a full size smaller than a normal ""hanes"" type t-shirt."	"Submit"
"yes"	"2003 - 2006"	"yes"	"Mon"	"Yes"	"10years"	"family"	"yes"	"still"	""	"Submit"
"yes"	"2005 & 2006"	"notsure"	"Mon"	"No"	""	"competitor"	"yes"	"both"	"Your ice monitors always seemed well-trained and informed of current schedule, etc.  Please continue with that tradition.  I always enjoy your competitions!"	"Submit"
"yes"	" 2007"	"notsure"	"Mon"	"No"	"5years"	"no"	"yes"	"action"	"you had great gift items to purchase.  The t-shirts were not attractive, and the sizes seemed off, so we did not purchase this year.

the big comment - keep skaters at their level, competing at their level.  It is VERY obvious that some skaters are clearly competing below their skate abilities.  ISI is supposed to be a fun recreational event.  It did not happen to my daughter, but it sure was obvious as a spectator of a few other events."	"Submit"
"yes"	"05,06"	"yes"	"Mon"	"No"	"7years"	"no"	"no"	"action"	"The  cleanliness of the facility this year was extremely poor.  I undersatnd that the environment in which your rink is in makes it hard to control people who are coming in and out.  However, the restrooms and the concession area were just horrible.  We were there the whole weekend and it honestly looked like the restrooms were never cleaned the entire time.  That being said the competion proably rates fair among othere in the area as well as prganziation both before and during the competition.
"	"Submit"
"yes"	""	"notsure"	"Mon"	"Yes"	"5years"	"competitor"	"yes"	"both"	""	"Submit"
"yes"	"2006"	"yes"	"Mon"	"No"	"5years"	"no"	"yes"	"still"	""	"Submit"
"no"	""	"notsure"	"Mon"	"No"	""	"no"	"yes"	"action"	""	"Submit"
"yes"	"2006"	"yes"	"Thurs"	"Yes"	"7years"	"family"	"yes"	"both"	""	"Submit"
"yes"	"2006"	"yes"	"Mon"	"No"	""	"family"	"yes"	"both"	""	"Submit"
"yes"	"last 3 yrs"	"notsure"	"Mon"	"No"	"7years"	"competitor"	"yes"	"both"	""	"Submit"
"yes"	"06, 07"	"yes"	"Mon"	"Yes"	"5years"	"family"	"yes"	"action"	"for early am events we need to know which door will be open."	"Submit"
"yes"	"2005,2006"	"notsure"	"Mon"	"No"	"5years"	"family"	"yes"	"both"	""	"Submit"
"yes"	"2006"	"yes"	"Thurs"	"No"	"5years"	"family"	"yes"	"both"	""	"Submit"
"no"	""	"notsure"	""	"Yes"	""	""	""	""	"I would like to be a vendor at this competition. I have a swarovski crystal apparel business (jackets, t-shirts, warm up pant, sweatshirts. hats, etc.).  Can you provide the proper contact person info.  Thanks  Liz Bunce @ LB Designs San Jose, California (408)210-6480"	"Submit"
